"","Country","lifeExp","GNI","educationExp","birthRate","mortality","repr.parliament","eduRatio","labourRatio"
"Bangladesh","Bangladesh",71.6,"3,191",10,80.6,170,20,0.825665859564165,0.682520808561237
"Cambodia","Cambodia",68.4,"2,949",10.9,44.3,170,19,0.432314410480349,0.910982658959538
"Kenya","Kenya",61.6,"2,762",11,93.6,400,20.8,0.805732484076433,0.859116022099447
"Nepal","Nepal",69.6,"2,311",12.4,73.7,190,29.5,0.463350785340314,0.917336394948335
"Pakistan","Pakistan",66.2,"4,866",7.8,27.3,170,19.7,0.418655097613883,0.296743063932449
"Myanmar","Myanmar",65.9,"4,608",8.6,12.1,200,4.7,1.49673202614379,0.913730255164034
"Swaziland","Swaziland",49,"5,542",11.3,72,310,14.7,0.842307692307692,0.613128491620112
"Tanzania (United Republic of)","Tanzania (United Republic of)",65,"2,411",9.2,122.7,410,36,0.589473684210526,0.976718403547672
"Cameroon","Cameroon",55.5,"2,803",10.4,115.8,590,27.1,0.610315186246418,0.830729166666667
"Zimbabwe","Zimbabwe",57.5,"1,615",10.9,60.3,470,35.1,0.785483870967742,0.927536231884058
"Mauritania","Mauritania",63.1,"3,560",8.5,73.3,320,22.2,0.397129186602871,0.36283185840708
"Papua New Guinea","Papua New Guinea",62.6,"2,463",9.9,62.1,220,2.7,0.524137931034483,0.952702702702703
"Yemen","Yemen",63.8,"3,519",9.2,47,270,0.7,0.322097378277154,0.35180055401662
"Lesotho","Lesotho",49.8,"3,306",11.1,89.4,490,26.8,1.15263157894737,0.802721088435374
"Togo","Togo",59.7,"1,228",12.2,91.5,450,17.6,0.399503722084367,0.991389913899139
"Haiti","Haiti",62.8,"1,669",8.7,42,380,3.5,0.636363636363636,0.857746478873239
"Rwanda","Rwanda",64.2,"1,458",10.3,33.6,320,57.5,0.909090909090909,1.01289566236811
"Uganda","Uganda",58.5,"1,613",9.8,126.6,360,35,0.683582089552239,0.957070707070707
"Benin","Benin",59.6,"1,767",11.1,90.2,340,8.4,0.418518518518519,0.863346104725415
"Sudan","Sudan",63.5,"3,809",7,84,360,23.8,0.664835164835165,0.411842105263158
"Senegal","Senegal",66.5,"2,188",7.9,94.4,320,42.7,0.467532467532468,0.75
"Afghanistan","Afghanistan",60.4,"1,885",9.3,86.8,400,27.6,0.197986577181208,0.19874213836478
"Côte d'Ivoire","Côte d'Ivoire",51.5,"3,171",8.9,130.3,720,9.2,0.465116279069767,0.643734643734644
"Malawi","Malawi",62.8,"747",10.8,144.8,510,16.7,0.513888888888889,1.03803680981595
"Ethiopia","Ethiopia",64.1,"1,428",8.5,78.4,420,25.5,0.428571428571429,0.875699888017917
"Gambia","Gambia",60.2,"1,507",8.8,115.8,430,9.4,0.552380952380952,0.870928829915561
"Congo (Democratic Republic of the)","Congo (Democratic Republic of the)",58.7,"680",9.8,135.3,730,8.2,0.395061728395062,0.965846994535519
"Liberia","Liberia",60.9,"805",9.5,117.4,640,10.7,0.391857506361323,0.898148148148148
"Mali","Mali",58,"1,583",8.4,175.6,550,9.5,0.509933774834437,0.624078624078624
"Mozambique","Mozambique",55.1,"1,123",9.3,137.8,480,39.6,0.225806451612903,1.03260869565217
"Sierra Leone","Sierra Leone",50.9,"1,780",8.6,100.7,1100,12.4,0.460829493087558,0.952173913043478
"Burkina Faso","Burkina Faso",58.7,"1,591",7.8,115.4,400,13.3,0.28125,0.856666666666667
"Burundi","Burundi",56.7,"758",10.1,30.3,740,34.9,0.63855421686747,1.01585365853659
"Chad","Chad",51.6,"2,085",7.4,152,980,14.9,0.171717171717172,0.808080808080808
"Central African Republic","Central African Republic",50.7,"581",7.2,98.3,880,12.5,0.378277153558052,0.853113983548766
"Niger","Niger",61.4,"908",5.4,204.8,630,13.3,0.307692307692308,0.445930880713489
