"","JHLLT","JLKMOVE","JHSPRBQ","JGHQD","JGHQF","JGHQH","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JGHQC","JVOTE7","JLFSATO"
"275",2,1,2,2,1,1,2,2,2,2,1,3,1,7
"276",2,2,2,2,3,2,2,1,2,2,2,2,1,5
"277",2,2,2,1,1,2,2,1,2,1,1,1,2,5
"278",2,2,2,2,2,2,2,1,2,2,2,2,1,5
"279",1,2,2,1,2,2,2,1,2,2,2,2,1,4
"280",1,2,2,2,3,2,2,1,2,1,2,1,1,2
"281",2,2,1,2,1,2,2,1,2,1,2,2,1,6
"282",2,2,1,2,2,2,2,2,2,2,2,2,2,7
"283",1,1,2,3,2,3,2,1,2,1,1,2,1,4
"284",1,1,2,2,3,2,2,1,2,1,1,3,2,4
"285",2,1,2,2,2,2,2,2,2,2,2,3,1,4
"286",2,2,2,2,1,2,2,1,2,2,2,1,1,5
"287",1,2,2,2,2,2,2,1,2,2,2,2,2,6
"288",2,1,2,3,3,3,2,2,2,2,2,3,1,3
"289",2,1,2,2,1,2,2,2,2,2,2,3,1,5
"290",1,2,2,3,2,3,2,1,2,1,2,3,1,1
"291",2,2,2,1,1,2,2,1,2,1,2,1,2,3
"292",2,2,1,2,1,2,2,1,2,2,1,2,1,5
"293",2,2,2,3,3,2,2,1,2,1,2,4,3,3
"294",1,2,2,3,3,1,2,1,2,1,1,3,1,3
"295",2,1,2,2,2,2,2,1,2,2,2,2,1,6
"296",2,1,2,1,1,1,2,1,2,2,2,1,2,7
"297",2,2,2,2,2,2,2,1,2,1,2,2,2,2
"298",2,2,2,3,3,3,2,1,2,1,2,3,2,3
"299",1,1,1,3,3,3,2,1,2,2,1,3,2,2
"300",1,2,2,2,2,3,2,1,2,1,1,2,2,4
"301",2,1,2,2,4,4,2,1,2,1,1,4,2,1
"302",1,2,2,2,1,2,2,1,2,2,2,2,3,2
"303",2,1,2,1,3,2,2,1,2,1,1,2,1,5
"304",2,1,2,2,2,2,2,1,2,1,1,2,2,4
"305",2,2,1,2,2,1,2,1,2,1,1,2,2,4
"306",2,2,1,2,1,2,2,1,2,1,1,1,2,5
"307",2,2,1,2,1,2,2,1,2,1,1,2,1,5
"308",1,2,1,2,1,2,2,1,2,1,1,2,1,5
"309",2,2,1,2,2,2,2,1,2,1,1,3,2,5
"310",2,2,1,2,1,2,2,1,2,1,1,4,3,6
"311",1,2,1,4,4,4,2,1,2,1,2,4,2,1
"312",2,2,2,2,2,2,2,1,2,1,1,2,1,5
"313",2,2,2,2,2,2,2,1,2,1,1,2,1,5
"314",1,1,2,3,3,3,2,1,2,1,1,3,1,5
"315",2,2,1,2,2,2,2,1,2,1,2,2,2,4
"316",2,2,1,2,2,1,2,1,2,1,2,2,3,5
"317",2,1,2,1,2,2,2,1,2,1,1,2,1,5
"318",2,1,2,1,2,2,2,1,2,1,1,1,2,5
"319",2,1,2,2,1,2,2,1,2,1,1,2,3,4
"320",2,2,2,2,2,3,2,1,2,1,2,2,1,4
"321",2,1,2,2,1,1,2,1,2,1,2,1,3,5
"322",1,1,1,2,4,3,2,1,2,1,1,3,1,3
"323",1,1,1,2,2,2,2,2,2,1,2,2,1,6
"324",2,2,1,2,2,2,2,1,2,1,2,2,1,6
"325",1,1,1,2,3,2,2,1,2,1,1,1,1,2
"326",2,1,2,2,1,2,2,2,2,1,1,2,2,5
"327",2,1,2,2,1,2,2,1,2,1,2,2,1,5
"328",1,1,2,2,3,3,2,1,2,1,2,4,1,4
"329",1,1,2,4,4,4,2,1,2,1,2,4,2,2
"330",2,1,1,2,2,2,2,1,2,1,2,1,1,4
"331",1,1,1,1,2,1,2,1,2,1,2,1,1,5
"332",1,1,1,2,2,2,2,1,2,1,2,2,1,3
"333",1,1,1,2,3,2,2,1,2,1,2,2,1,2
"334",2,1,2,2,2,2,2,1,2,1,2,2,1,5
"335",2,1,2,2,2,2,2,1,2,1,2,2,1,6
"336",2,1,1,2,1,2,2,1,2,1,2,2,3,7
"337",2,1,2,2,3,2,2,1,2,1,1,3,1,3
"338",1,1,1,3,2,2,2,1,2,1,2,2,2,5
"339",2,1,1,2,2,2,2,2,2,2,1,2,2,6
"340",1,2,2,2,4,2,2,1,2,1,2,2,1,3
"341",2,1,2,1,1,1,2,1,2,1,2,2,3,7
"342",2,1,2,2,1,2,2,1,2,1,1,2,1,5
"343",1,1,2,2,1,2,2,2,2,2,2,2,1,6
"344",1,1,2,3,4,4,2,1,2,1,1,3,2,2
"345",1,2,1,3,4,4,2,1,2,1,2,3,2,4
"346",1,1,2,2,2,1,2,1,2,1,2,2,1,1
"347",1,1,2,2,2,2,2,1,2,1,2,2,1,5
"348",1,2,2,3,3,3,2,1,2,2,2,3,2,4
"349",2,1,2,3,2,2,2,1,2,1,2,2,1,5
"350",1,1,2,2,2,2,2,1,2,1,2,4,2,6
"351",2,2,2,4,4,4,2,1,2,1,2,3,2,2
"352",2,1,2,1,1,2,2,1,2,1,2,1,2,5
"353",2,1,1,2,2,2,2,1,2,1,2,2,2,5
"354",1,2,2,3,3,3,2,2,2,1,2,3,1,3
"355",1,2,2,3,4,4,2,2,2,1,2,3,2,1
"356",1,2,2,2,3,2,2,1,2,1,2,1,1,2
"357",2,1,2,2,2,2,2,2,2,2,2,1,1,7
"358",1,1,2,2,1,2,2,2,2,2,1,4,1,6
"359",2,1,2,2,3,2,2,1,2,1,1,3,1,4
